# gene_name         0h    12h    24h    48h    96h 
CTSW              70.8   81.0   81.6   62.6   26.0 
FIBP              26.0   19.2   11.3    3.7    0.2 
CCDC85B           62.2   69.2   62.6   39.6   11.4 
FOSL1             10.8    4.7    1.8    0.3    0.0 
C11orf68           8.7    7.8    6.9    4.0    0.8 
DRAP1             15.8   10.9    6.6    2.2    0.1 
TSGA10IP          12.2    9.5    7.0    2.9    0.2 
SART1              5.0    2.2    0.9    0.1    0.0 
EIF1AD            35.2   15.8    6.8    0.8    0.0 
BANF1            105.5  158.9  197.5  261.1  304.6 
CST6              43.8   34.4   28.7   12.3    1.5 
CATSPER1          29.9   14.0    6.2    1.1    0.0 
GAL3ST3           59.9   23.6    8.3    0.8    0.0 
SF3B2              7.7    5.2    2.3    0.5    0.0 
PACS1             21.2   14.5   10.0    3.3    0.2 
KLC2              32.6   15.3    7.1    1.0    0.0 
RAB1B             18.1    8.9    4.5    0.7    0.0 
CNIH2              4.4    4.7    5.0    3.6    1.0 
YIF1A             15.9    8.5    4.7    0.8    0.0 
TMEM151A          16.7   17.7   14.9    8.8    2.2 
CD248              1.5    0.7    0.3    0.1    0.0 
RIN1              14.2    5.8    2.1    0.2    0.0 
BRMS1             88.6   74.8   65.8   30.4    4.7 
B4GAT1             9.6    4.1    1.8    0.2    0.0 
SLC29A2          170.7   80.7   35.7    5.1    0.1 
NPAS4             21.7    9.8    3.4    0.4    0.0 
MRPL11             1.3    0.7    0.4    0.1    0.0 
PELI3            205.7  295.0  418.7  563.4  803.0 
DPP3              25.0   16.4    9.9    2.7    0.1 
CTD-3074O7.11      3.4    1.3    0.5    0.0    0.0 
BBS1             103.9   69.8   42.4   14.4    0.9 
ZDHHC24           97.5  105.3   93.9   68.6   21.3 
ACTN3             31.8    9.2    2.2    0.1    0.0 
CTSF              19.6    4.5    1.0    0.0    0.0 
CCDC87            14.2   12.6    9.5    4.3    0.5 
CCS                7.0    4.4    2.5    0.6    0.0 
RBM14             54.9   52.4   47.5   33.2    8.7 
RBM14-RBM4       142.2   73.7   37.1    6.0    0.1 
RBM4              55.4   40.5   23.6    6.8    0.3 
RBM4B              6.7    7.2    8.2    7.0    3.6 
SPTBN2           238.0  342.7  403.3  583.3  562.8 
C11orf80          14.5    9.8    4.5    1.0    0.0 
RCE1              49.1   32.7   19.4    5.1    0.2 
PC                90.1   52.4   25.3    4.6    0.1 
LRFN4             19.4   23.1   26.9   25.5   17.1 
C11orf86          53.0   42.4   32.5   18.2    2.9 
SYT12             31.7   20.8   11.9    3.4    0.2 
RHOD              24.8    4.5    0.7    0.0    0.0 
KDM2A              4.1    2.6    1.4    0.4    0.0 
GRK2             262.1  353.8  448.4  597.8  538.7 
ANKRD13D          55.3   72.9   78.2   82.2   52.3 
SSH3              64.8   54.1   42.3   24.3    4.3 
RAD9A             19.4   11.3    4.8    0.9    0.0 
POLD4             17.9   18.4   14.9    9.3    2.1 
AP003419.11      299.2  381.9  468.8  472.3  315.0 
CLCF1             11.9    9.0    6.4    2.6    0.3 
PPP1CA            69.8   95.3   98.9   98.8   58.3 
TBC1D10C           9.0    8.3    8.2    4.4    1.1 
CARNS1            41.8   61.5   71.2   95.6   97.3 
RPS6KB2           28.2   36.2   37.1   32.2   19.5 
CORO1B           117.5  100.2   70.5   31.1    4.0 
PTPRCAP           15.7    2.7    0.6    0.0    0.0 
GPR152            25.4   23.7   20.1   11.4    2.0 
CABP4             62.9   18.5    5.2    0.3    0.0 
TMEM134           23.2   16.6   10.9    2.6    0.1 
AIP               93.7  118.5  141.3  146.5   96.6 
PITPNM1           32.4   26.2   17.0    5.8    0.4 
CDK2AP2           50.0   28.3   14.6    3.1    0.1 
CABP2              5.7    3.9    2.0    0.5    0.0 
GSTP1              4.3    4.1    3.4    1.5    0.2 
NDUFV1             4.0    1.9    0.8    0.1    0.0 
NUDT8             21.4   11.3    6.2    1.3    0.0 
TBX10             75.0   34.5   14.2    1.5    0.0 
ACY3               7.8    4.3    2.2    0.4    0.0 
ALDH3B2           32.0   28.0   27.4   16.5    3.4 
UNC93B1           64.7   79.3   79.8   82.0   42.5 
ALDH3B1            5.7    0.3    0.0    0.0    0.0 
NDUFS8           132.7  129.4  103.6   52.6    9.3 
TCIRG1            30.0   34.7   29.2   19.5    4.8 
CHKA              32.8   25.0   18.5    8.7    1.0 
KMT5B              4.7    4.2    3.4    1.7    0.2 
C11orf24          77.3   44.7   22.1    4.4    0.1 
LRP5              16.5   12.6    8.4    3.8    0.4 
PPP6R3            81.5  130.0  215.0  392.4  909.8 
GAL               50.7   56.4   64.2   65.6   33.0 
TESMIN            57.4   59.5   65.5   63.1   28.4 
CPT1A             51.4   60.7   68.1   46.9   17.9 
MRPL21             5.7    3.5    1.6    0.3    0.0 
IGHMBP2           24.4   22.6   18.5    8.9    1.6 
MRGPRD             7.0    4.0    2.4    0.6    0.0 
MRGPRF            13.7   13.6   14.0    9.0    2.5 
TPCN2              8.0   10.6   12.4   12.7    9.4 
MYEOV             41.9   40.2   32.9   19.4    3.2 
CCND1             93.2  132.3  159.2  170.4  140.9 
ORAOV1            22.0   19.5   16.1    7.9    1.8 
AP001888.1        26.0   37.1   49.6   67.5   85.6 
FGF19             41.3   42.2   46.5   34.5   12.4 
FGF4             101.3   30.1    7.4    0.4    0.0 
FGF3              86.1   93.1   88.9   62.3   20.3 
ANO1              19.6   17.9   16.1    8.4    1.3 
FADD              18.0   10.6    5.7    1.2    0.0 
PPFIA1            16.5   11.6    7.1    2.0    0.1 
CTTN              30.2    4.8    0.7    0.0    0.0 
SHANK2           108.6  127.0  151.5  159.0   92.5 
DHCR7              9.9    6.9    4.1    1.4    0.1 
NADSYN1           26.7   34.5   43.9   53.7   36.3 
KRTAP5-7          35.0   40.0   41.0   35.9   15.7 
KRTAP5-8          23.7   21.5   15.0    6.2    0.6 
KRTAP5-9           2.7    2.5    2.1    1.1    0.2 
KRTAP5-10        137.4  209.6  340.9  554.4 1085.7 
KRTAP5-11        144.5  183.0  180.7  182.5  117.6 
FAM86C1            7.3    5.5    3.7    1.2    0.1 
DEFB108B           5.3    3.6    2.5    0.8    0.0 
RP11-849H4.2      14.9   16.8   20.4   22.0   12.8 
CTD-2313N18.7      6.1    3.0    1.1    0.2    0.0 
RNF121            10.4    8.9    6.0    2.3    0.2 
IL18BP            15.0    8.2    3.4    0.6    0.0 
NUMA1             43.5   29.2   19.8    6.4    0.4 
LRTOMT            34.8   39.1   45.6   35.5   18.0 
LAMTOR1            6.2    6.1    6.2    4.3    1.5 
ANAPC15           67.8   71.6   70.4   64.7   26.9 
FOLR3             19.6   21.4   21.7   21.4    9.7 
FOLR1            142.4  120.6   93.9   41.8    5.4 
FOLR2            147.4  165.6  161.5  117.4   43.0 
INPPL1             7.7    4.5    2.6    0.5    0.0 
PHOX2A            26.5   23.3   21.7   12.3    2.3 
CLPB              44.3   47.2   45.6   32.2    9.8 
PDE2A             50.9   38.4   20.5    6.2    0.3 
ARAP1              5.5    3.9    2.5    1.0    0.1 
STARD10            2.4    0.5    0.1    0.0    0.0 
ATG16L2           28.2   17.5   10.9    3.0    0.1 
FCHSD2            17.2   11.1    6.4    1.5    0.1 
P2RY2             48.0   57.5   52.7   46.1   16.2 
P2RY6            129.3  125.2  123.3   67.9   16.1 
ARHGEF17         140.9  141.0  137.3  106.9   34.8 
RELT               3.5    2.5    1.6    0.5    0.1 
FAM168A           21.3   16.5   12.3    5.8    0.5 
PLEKHB1           71.3   69.7   53.2   26.3    3.8 
RAB6A             19.8   29.3   38.6   53.2   62.6 
MRPL48             5.1    3.9    2.5    0.8    0.1 
COA4              48.9   34.5   20.0    6.0    0.3 
PAAF1             28.6    4.8    0.7    0.0    0.0 
DNAJB13           64.9   30.9   15.5    3.5    0.1 
UCP2              12.9    2.3    0.4    0.0    0.0 
UCP3               2.8    1.7    0.9    0.2    0.0 
C2CD3             10.2    4.2    1.6    0.2    0.0 
PPME1              7.4    5.2    2.9    0.7    0.0 
P4HA3            328.2  422.8  507.9  531.0  383.4 
PGM2L1            13.4    7.5    3.6    0.6    0.0 
KCNE3              5.0    3.2    2.0    0.5    0.0 
LIPT2             10.1   11.7   11.0    8.5    2.7 
POLD3             23.9   29.1   30.7   30.0   17.1 
CHRDL2            20.8   26.0   31.4   31.3   24.4 
RNF169           284.7  323.9  323.9  313.8  128.7 
XRRA1             11.6    7.4    3.9    0.9    0.0 
SPCS2             28.7   38.3   38.7   36.3   19.2 
NEU3              44.3   40.5   29.9   14.1    1.6 
OR2AT4           127.0  144.4  161.8  151.9   92.4 
SLCO2B1           86.8   96.3  109.9   93.7   44.3 
TPBGL             34.1   35.6   37.4   30.4   10.2 
ARRB1             57.0   54.0   45.1   24.7    5.6 
RPS3              70.5   72.9   67.1   44.8   13.1 
KLHL35            24.0   20.1   19.8   13.6    3.6 
GDPD5              9.6    3.7    1.0    0.1    0.0 
SERPINH1          20.3   16.0   11.5    4.6    0.5 
MAP6              54.2   32.7   18.4    5.5    0.2 
MOGAT2             8.0    5.0    3.1    0.8    0.0 
DGAT2             48.3   30.6   17.1    4.3    0.2 
UVRAG              4.2    1.6    0.6    0.1    0.0 
WNT11             83.4   67.7   48.2   23.6    2.8 
THAP12            70.0   96.0  125.0  157.3  139.3 
RP11-111M22.2     66.4   34.3   16.7    2.7    0.1 
EMSY             362.7  554.1  636.0  660.5  701.8 
LRRC32            59.6   25.0   11.2    1.4    0.0 
TSKU              66.5   62.0   55.0   30.5    5.2 
ACER3              5.2    4.5    3.7    2.1    0.4 
B3GNT6            10.2   15.1   15.8   21.1   18.3 
CAPN5              7.2    3.9    2.0    0.5    0.0 
OMP               38.7   57.9   64.8   95.5   97.4 
MYO7A             17.8   14.1   11.8    5.3    0.8 
GDPD4             16.3    6.8    3.4    0.5    0.0 
PAK1              57.6   42.5   32.5   13.3    1.3 
CLNS1A             6.9    6.5    4.2    1.8    0.2 
AQP11              8.9    7.4    6.5    3.2    0.5 
RSF1               5.1    2.0    0.7    0.1    0.0 
AAMDC             23.1   24.5   20.5   15.6    4.4 
INTS4             78.6   61.9   31.5    9.8    0.5 
KCTD14            69.5   42.6   21.6    4.2    0.1 
NDUFC2-KCTD14     17.9    8.4    3.6    0.5    0.0 
THRSP              9.5    7.3    4.3    1.4    0.1 
NDUFC2            52.9   20.2    8.8    1.0    0.0 
ALG8              15.7    9.9    6.1    1.5    0.1 
KCTD21            38.4   40.7   31.7   25.3    6.0 
USP35            212.0  130.9   66.4   15.2    0.4 
GAB2              26.1    9.1    3.0    0.2    0.0 
NARS2             60.3   28.1   10.4    1.2    0.0 
TENM4             37.4   41.7   52.5   53.7   38.6 
FAM181B          122.4  112.5   90.6   54.0    9.9 
PRCP              42.2   30.5   20.5    6.9    0.6 
DDIAS             22.1   21.2   23.5   19.9    9.1 
RAB30             24.4    7.3    1.7    0.1    0.0 
PCF11              9.4    5.2    2.3    0.3    0.0 
ANKRD42           28.2   27.8   21.2   10.3    1.6 
CCDC90B           86.2   78.1   82.9   64.3   25.0 
DLG2              99.4  177.6  278.7  517.2 1081.9 
TMEM126B         125.7  115.6  109.7   85.5   29.1 
TMEM126A           8.1   10.8   10.0    7.4    3.2 
CREBZF            84.6  144.2  219.9  349.2  631.1 
CCDC89            41.8   51.0   50.6   41.6   17.9 
SYTL2             64.4   67.4   81.8   72.2   34.6 
CCDC83            37.7   11.9    3.0    0.2    0.0 
PICALM            10.6   14.8   14.1   16.1   10.8 
EED               25.4   16.3   11.3    4.0    0.3 
HIKESHI           16.6   27.0   35.3   58.5   93.0 
CCDC81            58.1   73.9  104.0  129.4  101.2 
ME3               78.6  106.4  123.5  137.3   94.9 
PRSS23             6.3    5.8    4.7    2.6    0.5 
FZD4              16.7   20.9   18.9   13.4    4.2 
TMEM135            3.5    2.0    0.9    0.1    0.0 
RAB38             17.8   11.2    5.5    1.0    0.0 
CTSC              41.4   47.9   40.9   27.7    8.8 
GRM5              62.3   90.8  109.9  126.4  105.3 
TYR                6.5    5.7    4.7    2.1    0.3 
NOX4              10.0    3.0    0.9    0.1    0.0 
TRIM77            12.5   15.4   16.4   15.9    9.0 
TRIM49            34.5   42.3   43.3   43.6   21.9 
TRIM64B           68.1   50.1   37.5   13.8    1.2 
TRIM49D1          41.8   57.4   79.6   95.1  106.9 
TRIM49D2          91.1   73.8   52.7   21.9    2.5 
TRIM64            73.7   77.3   66.7   37.9    7.3 
TRIM49C           18.6   13.4    8.4    3.0    0.2 
UBTFL1            31.2   42.9   49.1   50.2   34.1 
NAALAD2           23.7   27.3   28.9   22.7   10.3 
CHORDC1           17.0    5.1    1.2    0.1    0.0 
FAT3               7.0    2.9    1.3    0.2    0.0 
MTNR1B            11.5    4.9    1.8    0.2    0.0 
SLC36A4           50.1   25.7   14.9    3.7    0.1 
CCDC67            34.2   35.3   29.4   22.0    6.7 
SMCO4             57.9   50.0   47.8   29.6    8.2 
CEP295            38.8   30.3   21.0   10.7    1.4 
TAF1D             77.2   40.0   18.9    3.2    0.1 
C11orf54          43.5   46.7   47.8   33.2   11.4 
MED17             10.1   15.4   19.4   28.5   31.1 
VSTM5             43.8   44.1   39.3   24.2    5.0 
HEPHL1            18.6   25.4   28.9   35.1   31.8 
PANX1             52.2   32.1   19.3    5.4    0.2 
IZUMO1R            8.7    3.1    1.1    0.1    0.0 
GPR83             37.2   40.4   42.6   28.6   12.0 
MRE11A            17.5    8.5    3.9    0.7    0.0 
ANKRD49           55.1   78.0   95.5  111.8  109.9 
C11orf97          16.8   23.0   26.8   40.5   37.3 
FUT4              14.8   15.4   13.6    9.0    2.5 
PIWIL4            95.3  121.5  117.2  102.8   44.5 
AMOTL1            26.1   12.3    5.4    0.8    0.0 
CWC15            315.6  317.3  281.9  183.2   46.9 
KDM4D             27.2    9.8    2.9    0.2    0.0 
KDM4E             22.8   10.6    4.4    0.6    0.0 
SRSF8             77.7   96.4   89.3   57.2   19.7 
ENDOD1           177.8  169.0  165.8  111.6   31.7 
SESN3             36.1   43.9   44.8   35.5   19.8 
FAM76B            51.1   38.8   24.8    7.4    0.5 
CEP57              9.4    2.8    0.8    0.1    0.0 
MTMR2             21.4   25.1   25.6   27.1   12.2 
MAML2            113.7  129.6  149.9  140.7   74.6 
CCDC82           248.9  220.6  198.3  120.3   25.1 
JRKL              32.9   21.5   13.3    3.7    0.2 
CNTN5              5.6    2.7    0.9    0.1    0.0 
ARHGAP42          23.5   30.0   26.1   23.3    9.9 
TMEM133          130.1  175.8  219.4  265.2  227.4 
PGR               17.4    6.4    2.5    0.3    0.0 
TRPC6              1.6    0.8    0.3    0.0    0.0 
ANGPTL5           74.8   68.3   46.3   20.0    1.8 
CEP126             3.8    4.4    4.2    3.1    1.0 
C11orf70          20.1   21.0   19.5   14.8    4.6 
YAP1              14.2   15.4   15.3    8.6    2.1 
BIRC3            158.5  274.5  357.6  739.5 1424.8 
BIRC2              5.3    4.1    2.6    1.0    0.1 
TMEM123          128.3  157.5  154.5  132.7   50.7 
MMP7              93.1   63.9   41.1   12.0    0.6 
MMP20             97.6  102.0   98.7   68.8   24.0 
MMP27             34.8   24.9   16.0    6.2    0.5 
MMP8              18.8   20.4   19.0   15.7    5.4 
MMP10             35.7   44.4   57.4   59.8   42.5 
MMP1              20.9    9.7    3.8    0.6    0.0 
MMP3              17.1   21.4   25.0   19.1    7.9 
MMP12             43.5   35.8   30.9   15.9    2.5 
MMP13             89.5   47.9   18.4    2.8    0.0 
DCUN1D5           28.9   32.3   37.1   32.4   17.5 
DYNC2H1          116.5  147.8  168.8  214.1  150.4 
PDGFD             43.2   27.5   16.3    3.7    0.2 
DDI1               8.3    8.0    6.6    4.5    1.2 
CASP4            120.6  102.9   87.1   47.1    8.3 
CASP5             19.8   17.5   13.3    6.0    0.7 
CASP1            676.4 1205.8 1928.6 4291.9 11637.2 
CARD16            31.9   11.4    3.6    0.3    0.0 
CARD17            27.0   19.6   12.8    4.9    0.4 
CARD18            11.4    8.2    5.4    1.5    0.1 
GRIA4             32.3   17.6    7.4    1.2    0.0 
MSANTD4            5.6    5.1    3.3    1.7    0.2 
KBTBD3             8.1    6.6    5.2    2.1    0.2 
AASDHPPT           3.6    3.4    2.6    1.3    0.2 
GUCY1A2            2.3    1.6    1.0    0.3    0.0 
CWF19L2            8.6    4.2    1.5    0.2    0.0 
ALKBH8           156.1  153.7  171.0  124.0   47.5 
ELMOD1            23.4   24.4   21.7   15.9    4.7 
SLN               99.3   64.2   36.8   12.9    0.7 
SLC35F2           17.4    9.7    4.8    0.9    0.0 
RAB39A           127.4  165.7  215.9  240.6  202.6 
CUL5              33.7   33.1   31.5   22.7    7.4 
ACAT1             62.0   52.7   32.5   11.5    1.0 
NPAT              18.8   17.2   16.2   10.0    2.3 
ATM               33.6   22.0   12.6    3.8    0.2 
C11orf65          18.9    8.2    3.3    0.4    0.0 
KDELC2            22.8   15.2   11.0    3.2    0.2 
EXPH5            259.0  348.6  396.5  477.8  380.6 
DDX10              7.0    6.6    6.1    3.8    0.7 
C11orf87          65.2   89.3  136.2  196.2  287.0 
ZC3H12C           36.8   26.5   13.0    3.9    0.2 
RDX               31.9   30.9   29.3   16.6    3.5 
FDX1              10.4    9.3    5.0    1.9    0.1 
ARHGAP20          81.5   40.7   15.2    1.8    0.0 
C11orf53          21.0   25.1   26.0   24.5   12.4 
COLCA2            32.2   32.1   34.2   30.6   12.1 
POU2AF1          151.1  232.1  286.7  429.1  538.9 
BTG4              19.2   14.2    7.9    3.3    0.2 
C11orf88          36.1   40.1   40.4   32.6   11.5 
LAYN             356.2  508.9  585.7  768.0  611.6 
SIK2               2.9    2.0    1.0    0.3    0.0 
PPP2R1B          115.3  168.2  201.0  243.7  187.7 
ALG9              16.1    8.8    3.9    0.8    0.0 
RP11-108O10.8     14.4    5.5    2.2    0.3    0.0 
FDXACB1           98.2   75.5   46.2   14.8    1.1 
C11orf1           43.6   18.0    6.4    0.8    0.0 
CRYAB             47.8   52.8   49.9   31.4   11.5 
HSPB2              4.8    0.9    0.1    0.0    0.0 
HSPB2-C11orf52    30.8   29.4   31.8   25.6    9.8 
C11orf52          66.4   67.3   51.4   26.4    4.2 
DIXDC1            20.4   14.0    8.1    2.3    0.1 
DLAT              69.1   64.7   35.0   14.5    1.1 
PIH1D2            41.5   17.2    6.2    0.7    0.0 
C11orf57          10.5    3.9    1.5    0.2    0.0 
TIMM8B           377.6  537.9  690.2  885.7  785.8 
SDHD               7.5    1.4    0.2    0.0    0.0 
AP002884.2         2.9    2.1    1.4    0.4    0.0 
IL18              10.4    1.5    0.2    0.0    0.0 
TEX12             15.9   10.1    5.9    1.7    0.1 
BCO2              42.6   34.1   24.5   11.0    1.2 
PTS              217.0  110.7   55.4   11.8    0.3 
PLET1             46.5   35.4   28.8   13.8    2.0 
NCAM1             21.7   30.8   40.7   51.1   56.5 
TTC12             70.3   49.8   32.7   13.0    1.3 
ANKK1             44.5   17.4    6.4    0.6    0.0 
DRD2              40.8   66.2   80.5  138.9  206.2 
TMPRSS5            6.3    0.2    0.0    0.0    0.0 
ZW10              88.9   80.3   62.7   25.3    3.0 
CLDN25            12.5   15.1   16.0   13.4    7.5 
USP28              8.7    5.6    4.6    1.7    0.1 
HTR3B              9.1    4.5    2.1    0.3    0.0 
HTR3A            200.9  210.5  207.9  118.2   34.4 
ZBTB16            57.1   44.3   31.0   12.0    0.9 
NNMT              22.6   10.4    4.1    0.7    0.0 
C11orf71          30.8   19.6   10.8    2.2    0.1 
RBM7              10.7   11.9   11.3    7.6    2.0 
RP11-212D19.4     64.6   54.6   50.9   32.8    7.3 
REXO2             23.9    5.5    1.2    0.0    0.0 
NXPE1             62.7   62.4   50.9   33.4    6.1 
NXPE4             22.8   22.4   23.1   15.8    5.0 
NXPE2             67.6   40.1   21.0    5.3    0.2 
CADM1             11.0    7.7    4.9    1.7    0.1 
BUD13             25.3   28.9   30.4   23.2   11.5 
ZPR1              12.1    6.0    2.8    0.5    0.0 
APOA5            180.8  196.1  198.4  168.7   76.5 
APOA4              8.6    8.5    8.7    6.2    2.1 
APOC3             63.8   48.4   33.8   15.0    1.3 
APOA1             46.2   81.5  117.7  207.5  349.5 
SIK3              34.3   11.2    3.2    0.2    0.0 
PAFAH1B2          72.9   86.2   75.3   69.2   31.5 
SIDT2             29.2    5.0    1.1    0.0    0.0 
TAGLN             30.6   29.7   23.2   12.9    1.9 
PCSK7             26.8   39.4   57.3   83.7  114.7 
RNF214            43.5   49.3   60.1   57.3   39.1 
BACE1              2.9    1.9    1.2    0.3    0.0 
CEP164             2.8    2.0    1.6    0.6    0.1 
DSCAML1           16.9   10.8    6.0    1.3    0.0 
FXYD2             34.8   20.7   10.0    2.1    0.0 
FXYD6-FXYD2       15.3   14.9   15.4    9.9    3.3 
FXYD6            147.6  101.9   64.0   22.0    1.7 
TMPRSS13          33.2   39.0   52.3   51.0   29.0 
IL10RA            62.1   36.0   17.2    4.9    0.2 
TMPRSS4-AS1      191.6  252.8  292.3  309.3  239.3 
AP002962.1        82.7   40.5   21.2    3.6    0.1 
TMPRSS4            4.9    2.5    1.5    0.3    0.0 
SCN4B            233.6  207.1  145.1   72.9    9.8 
SCN2B             11.0    2.0    0.2    0.0    0.0 
JAML              15.8   15.1   10.9    6.1    0.9 
MPZL3             86.1  113.5  139.1  154.7  129.5 
MPZL2            146.7  216.9  227.1  269.6  149.8 
CD3E              65.0   81.0   89.5   87.8   54.0 
CD3D               7.6    3.2    1.3    0.1    0.0 
CD3G              12.9   14.8   14.8   12.9    5.4 
UBE4A              4.3    1.8    0.5    0.1    0.0 
ATP5L             27.4   30.5   33.8   33.1   19.2 
KMT2A             30.6   20.3   10.7    2.9    0.1 
TTC36             72.4   91.8   87.9   86.7   47.5 
TMEM25            58.9   60.5   52.2   36.1   10.0 
IFT46             42.0   51.4   55.8   53.5   31.9 
ARCN1             34.6   24.8   13.8    4.6    0.2 
PHLDB1            38.1   51.4   57.3   54.1   28.5 
TREH              91.1   64.3   38.6   10.5    0.6 
DDX6              20.3   18.6   14.5    5.9    0.7 
CXCR5             19.8   20.6   19.2   14.3    5.3 
BCL9L             12.0    6.3    3.3    0.8    0.0 
UPK2              33.0   23.9   17.6    7.0    0.7 
FOXR1            240.9  312.0  374.1  372.7  264.7 
CCDC84            16.0   18.4   16.0   12.3    4.2 
RPS25             41.1   42.0   34.9   20.7    5.3 
TRAPPC4           36.3   18.2    7.4    1.3    0.0 
SLC37A4           42.1   34.0   24.4   10.9    1.4 
HYOU1             14.8    7.8    3.4    0.5    0.0 
VPS11              7.5    3.4    1.2    0.2    0.0 
HMBS              24.6    9.1    3.2    0.3    0.0 
H2AFX            121.0  155.6  209.5  311.8  347.2 
DPAGT1            21.5   24.0   25.9   23.0   13.2 
C2CD2L            26.4   12.1    4.9    0.7    0.0 
HINFP            178.3  207.8  211.8  172.0   79.1 
ABCG4             19.2   11.9    6.7    1.6    0.1 
NLRX1             55.6   30.0   14.1    2.9    0.1 
PDZD3             12.3   13.1   12.4    9.1    3.3 
CCDC153           15.4   10.7    6.0    1.9    0.1 
CBL               35.7   20.6   12.2    2.8    0.1 
MCAM              31.3   36.5   33.9   21.9    5.4 
RNF26              2.0    1.1    0.5    0.1    0.0 
C1QTNF5           24.1   28.5   21.3   18.6    5.4 
MFRP              51.0   51.3   52.5   35.2   12.1 
USP2              64.2   76.3   88.2   84.4   48.2 
THY1              56.3   78.9  108.1  127.2  143.1 
NECTIN1            2.6    1.0    0.4    0.0    0.0 
TRIM29            26.0   23.4   18.3    9.6    1.3 
OAF                5.1    4.8    4.6    2.7    0.7 
POU2F3             5.1    4.3    3.4    1.6    0.2 
TMEM136           77.4   80.3   73.2   45.0   11.2 
ARHGEF12          46.0   60.8   68.2   82.6   55.9 
GRIK4             37.5   31.3   31.0   16.6    4.2 
TBCEL             15.7   14.7   11.7    6.0    1.0 
TECTA              4.9    4.1    2.7    1.1    0.1 
SC5D               5.9    1.9    0.6    0.0    0.0 
SORL1              1.9    2.2    2.2    1.8    0.8 
BLID              58.9   69.4   56.7   32.4    8.0 
UBASH3B           37.5   16.6    5.8    0.7    0.0 
CRTAM              8.2   13.8   20.6   35.4   63.0 
C11orf63          20.4   14.8    9.5    3.2    0.2 
BSX               18.2    5.8    1.6    0.1    0.0 
HSPA8             13.0    8.0    3.4    0.7    0.0 
CLMP              25.2   24.6   25.0   17.7    5.2 
GRAMD1B           54.4   34.3   18.3    4.2    0.2 
SCN3B             19.8   20.4   20.0   12.8    4.1 
ZNF202           132.9  150.4  126.8  106.6   43.4 
OR6X1             22.7   14.9    9.6    2.8    0.2 
OR6M1             42.2   38.4   31.5   16.6    2.9 
TMEM225           46.7   19.9    9.4    1.4    0.0 
OR8D4              5.9    4.5    2.9    1.2    0.1 
OR4D5             93.2  104.3  114.2   85.2   39.0 
OR6T1             13.5   15.6   15.8   15.6    7.2 
OR10S1            98.9   93.6   76.9   47.0   12.1 
OR10G6           159.0  244.5  393.4  683.4 1236.2 
OR10G4            29.0   25.8   17.7    6.5    0.7 
OR10G9            39.6   19.4    8.1    1.1    0.0 
OR10G8            11.0    8.8    5.1    2.1    0.1 
OR10G7           123.2   67.5   38.5    8.5    0.3 
VWA5A              3.1    1.0    0.3    0.0    0.0 
OR10D3            42.0   57.7   69.5   95.2   80.8 
OR8G1             18.4   15.7   10.3    5.1    0.6 
OR8G5             68.2   70.2   60.4   35.5    9.4 
OR8D1             11.8    5.0    1.8    0.3    0.0 
OR8B2             45.7   53.1   53.0   44.1   17.4 
OR8B3             32.9   29.8   23.4   12.3    2.4 
OR8B4              4.9    0.5    0.1    0.0    0.0 
OR8B8             33.1   42.7   38.7   32.7   13.7 
OR8B12            13.7    8.3    4.0    0.7    0.0 
OR8A1             10.4    8.4    7.3    4.0    0.7 
PANX3             94.9  123.9  159.2  154.6  103.6 
TBRG1            192.0  102.1   48.3    7.3    0.1 
SIAE              93.4   48.3   23.6    4.3    0.1 
SPA17              6.3    5.7    3.8    1.2    0.1 
NRGN              59.4   89.2  115.9  170.9  236.6 
VSIG2              5.1    4.0    3.1    1.5    0.2 
ESAM              41.9   56.0   58.3   55.6   34.3 
MSANTD2           16.8    8.4    3.4    0.5    0.0 
AP000866.1        11.7   18.6   28.5   40.6   54.8 
ROBO3             47.4   19.7    7.7    1.1    0.0 
ROBO4              8.4    6.0    4.3    1.7    0.2 
HEPACAM           89.0   37.0   12.6    1.4    0.0 
HEPN1             34.9   48.5   60.2   71.0   53.1 
CCDC15             8.5    6.8    5.0    2.0    0.3 
SLC37A2           61.2   65.5   58.1   29.6    6.7 
TMEM218          109.8  152.2  224.1  306.1  434.9 
PKNOX2            11.2    4.8    1.9    0.3    0.0 
FEZ1              65.1   31.7   13.7    2.3    0.0 
EI24              13.2   10.2    7.5    2.6    0.2 
STT3A             44.2   67.4   83.0  104.6  111.7 
CHEK1             12.9    6.0    3.0    0.5    0.0 
ACRV1             21.9   16.2   12.5    4.9    0.5 
PATE1             18.0   14.6   11.0    5.0    0.6 
PATE2             55.6   65.8   81.9   73.7   40.2 
PATE3            166.2  276.3  329.5  426.4  458.6 
PATE4             43.7   16.0    6.2    0.6    0.0 
HYLS1             31.1   19.4   12.6    4.2    0.2 
PUS3              16.8   17.6   14.8    9.8    2.0 
DDX25             12.0   14.7   15.3   17.0    9.8 
CDON              97.8  121.6  128.4  129.3   83.1 
RPUSD4            69.3   77.6   78.0   71.0   28.4 
FAM118B           67.3   50.4   40.7   20.3    2.7 
SRPRA             29.0   26.8   18.2    8.9    1.0 
FOXRED1           20.1   17.6   13.4    6.2    0.9 
TIRAP             50.5   26.3   11.5    1.7    0.0 
DCPS              15.4   12.0    9.9    3.7    0.5 
ST3GAL4          191.2  293.5  360.4  548.7  565.1 
